Identifiant espace vert,Nom de l'espace vert,Typologie d'espace vert,Cat?gorie,Adresse - type voie,Adresse - Libell? voie,Code postal,Surface calcul?e,Superficie totale r?elle,Surface horticole,Pr?sence cloture,P?rim?tre,Nombre d'entit?s,Ouverture 24h_24h
10365,JARDINIERES DES RUES MARYSE BASTIER - JOSEPH BEDIER,D?corations sur la voie publique,Jardiniere,AVENUE,JOSEPH BEDIER,75013,281,252,252,Non,189.9712643,3,
10368,JARDINIERES DE LA RUE PRIMATICE,D?corations sur la voie publique,Jardiniere,RUE,PRIMATICE,75013,10,11,11,Non,22.6847451,2,
10369,JARDINIERES ANGLE DES RUES DE TOLBIAC - MOULIN DES PRES,D?corations sur la voie publique,Jardiniere,RUE DE,TOLBIAC,75013,100,90,90,Non,71.0654046,2,
274,03-05,P?riph?rique,Talus,,,75013,279,,,Non,200.6172548,1,
251,JARDIN YACINE KATEB,Promenades ouvertes,Jardin,RUE,WATTEAU,75013,6640,4580,3298,Oui,582.5379303,1,Non
254,JARDIN FEDERICA MONTSENY,Promenades ouvertes,Jardin,PLACE,LOUIS ARMSTRONG,75013,910,890,,Oui,129.2068181,1,Non
10134,JARDIN DES GRANDS MOULINS - ABBE PIERRE - JARDIN CENTRAL,Promenades ouvertes,Jardin,RUE,THOMAS MANN,75013,7812,7916,,Oui,443.4421697,1,Non
10938,JARDINET DE LA RUE BRUNESEAU,D?corations sur la voie publique,Jardinet,RUE,BRUNESEAU,75013,357,240,240,Non,129.5785078,2,
260,JARDINET DU BOULEVARD VINCENT AURIOL,Jardinets d?coratifs,Jardinet,BOULEVARD,VINCENT AURIOL,75013,888,684,684,Non,418.5419797,8,
10932,JARDINIERE DE L'AVENUE DE LA PORTE D'ITALIE,D?corations sur la voie publique,Jardiniere,AVENUE DE LA,PORTE D'ITALIE,75013,156,100,100,Non,55.35657757,1,
10394,JARDINIERES DE LA RUE TROLLEY DE PREVAUX,D?corations sur la voie publique,Jardiniere,RUE,TROLLEY DE PREVAUX,75013,438,434,434,Non,204.6889194,5,
10389,JARDINIERES DE LA RUE DUNOIS,D?corations sur la voie publique,Jardiniere,RUE,DUNOIS,75013,64,84,84,Non,79.44487276,5,
878,PROMENADE PLANTEE ARTHUR RIMBAUD,Jardinets d?coratifs,Promenade,QUAI,FRANCOIS MAURIAC,75013,1086,1365,1365,Non,872.6473041,12,
11613,01-03,P?riph?rique,Talus,,,75013,2128,,,Non,742.8726979,1,
11943,JARDINIERES DE LA PROMENADE PLANTEE CLAUDE LEVI STRAUSS T6,D?corations sur la voie publique,Jardiniere,RUE DU,CHEVALERET,75013,902,1000,1000,Non,,5,
10136,JARDIN DES GRANDS MOULINS - ABBE PIERRE - JARDIN DES ECOLES,Promenades ouvertes,Jardin,RUE,THOMAS MANN,75013,2120,2279,,Oui,249.7847168,1,Non
230,SQUARE CLARA ZETKIN,Promenades ouvertes,Square,AVENUE,BOUTROUX,75013,4563,7520,1237,Oui,414.7494187,1,Non
11155,JARDINIERE VERTICALE DU 35 RUE DUNOIS,Murs v?g?talis?s,Murs vegetalises,RUE,DUNOIS,75013,0,,,Non,7.94474896,1,
11156,JARDINIERE VERTICALE DU 4 PLACE PINEL,Murs v?g?talis?s,Murs vegetalises,PLACE,PINEL,75013,1,,,Non,7.18897914,1,
10372,DECORATION DE LA PLACE NATIONALE,D?corations sur la voie publique,Decoration,PLACE,NATIONALE,75013,96,61,61,Non,109.0835707,7,
10352,DECORATION DE LA RUE DE RUNGIS,D?corations sur la voie publique,Decoration,RUE DE,RUNGIS,75013,148,148,148,Non,250.6288385,16,
10380,JARDINIERES DE LA RUE DU COLONEL DOMINE,D?corations sur la voie publique,Jardiniere,RUE DU,COLONEL DOMINE,75013,961,1014,1014,Non,559.3153735,12,
11241,JARDINIERES DE L'ACCES STADIUM DALLE DES OLYMPIADES,D?corations sur la voie publique,Jardiniere,AVENUE D',IVRY,75013,329,256,256,Non,134.5913937,4,
263,00-01,P?riph?rique,Talus,,,75013,1055,,,Non,166.8994455,1,
11554,00-06,P?riph?rique,Talus,,,75013,1890,,,Non,257.6018561,1,
269,02-10,P?riph?rique,Talus,,,75013,1659,,,Non,393.7921666,1,
271,03-02,P?riph?rique,Talus,,,75013,3704,,,Non,725.1548554,1,
11611,01-01,P?riph?rique,Talus,,,75013,189,,,Non,78.00793637,1,
227,SQUARE PAUL GRIMAULT,Promenades ouvertes,Square,RUE DE LA,FONTAINE A MULARD,75013,3443,3705,587,Oui,297.2790977,1,Non
250,JARDIN BERTHE MORISOT,Promenades ouvertes,Jardin,RUE DU,DESSOUS DES BERGES,75013,2963,2950,1857,Oui,227.9017871,1,Non
11296,JARDINIERES DU CENTRE COMMERCIAL ITALIE 2,D?corations sur la voie publique,Jardiniere,AVENUE D',ITALIE,75013,40,40,40,Non,52.09537688,2,
881,JARDINET DU PARVIS DE LA MAIRIE DU XIIIEME,Jardinets d?coratifs,Jardinet,PLACE D',ITALIE,75013,365,543,543,Oui,90.45646533,1,Non
11306,JARDINIERE RUE CANTAGREL,D?corations sur la voie publique,Jardiniere,RUE,CANTAGREL,75013,137,126,126,Non,191.3382232,5,
